date,day,month,year,quarter,day_of_week,week_of_year,month_name
2024-11-05,5,11,2024,4,Tuesday,45,November
2024-11-06,6,11,2024,4,Wednesday,45,November
2024-11-07,7,11,2024,4,Thursday,45,November
2024-11-08,8,11,2024,4,Friday,45,November
2024-11-09,9,11,2024,4,Saturday,45,November
2024-11-10,10,11,2024,4,Sunday,45,November
2024-11-11,11,11,2024,4,Monday,46,November
2024-11-12,12,11,2024,4,Tuesday,46,November
2024-11-13,13,11,2024,4,Wednesday,46,November
2024-11-14,14,11,2024,4,Thursday,46,November
2024-11-15,15,11,2024,4,Friday,46,November
2024-11-16,16,11,2024,4,Saturday,46,November
2024-11-17,17,11,2024,4,Sunday,46,November
2024-11-18,18,11,2024,4,Monday,47,November
2024-11-19,19,11,2024,4,Tuesday,47,November
2024-11-20,20,11,2024,4,Wednesday,47,November
2024-11-21,21,11,2024,4,Thursday,47,November
2024-11-22,22,11,2024,4,Friday,47,November
2024-11-23,23,11,2024,4,Saturday,47,November
2024-11-24,24,11,2024,4,Sunday,47,November
2024-11-25,25,11,2024,4,Monday,48,November
2024-11-26,26,11,2024,4,Tuesday,48,November
2024-11-27,27,11,2024,4,Wednesday,48,November
2024-11-28,28,11,2024,4,Thursday,48,November
2024-11-29,29,11,2024,4,Friday,48,November
2024-11-30,30,11,2024,4,Saturday,48,November
2024-12-01,1,12,2024,4,Sunday,48,December
2024-12-02,2,12,2024,4,Monday,49,December
2024-12-03,3,12,2024,4,Tuesday,49,December
2024-12-04,4,12,2024,4,Wednesday,49,December
2024-12-05,5,12,2024,4,Thursday,49,December
2024-12-06,6,12,2024,4,Friday,49,December
2024-12-07,7,12,2024,4,Saturday,49,December
2024-12-08,8,12,2024,4,Sunday,49,December
2024-12-09,9,12,2024,4,Monday,50,December
2024-12-10,10,12,2024,4,Tuesday,50,December
2024-12-11,11,12,2024,4,Wednesday,50,December
2024-12-12,12,12,2024,4,Thursday,50,December
2024-12-13,13,12,2024,4,Friday,50,December
2024-12-14,14,12,2024,4,Saturday,50,December
2024-12-15,15,12,2024,4,Sunday,50,December
2024-12-16,16,12,2024,4,Monday,51,December
2024-12-17,17,12,2024,4,Tuesday,51,December
2024-12-18,18,12,2024,4,Wednesday,51,December
2024-12-19,19,12,2024,4,Thursday,51,December
2024-12-20,20,12,2024,4,Friday,51,December
2024-12-21,21,12,2024,4,Saturday,51,December
2024-12-22,22,12,2024,4,Sunday,51,December
2024-12-23,23,12,2024,4,Monday,52,December
2024-12-24,24,12,2024,4,Tuesday,52,December
2024-12-25,25,12,2024,4,Wednesday,52,December
2024-12-26,26,12,2024,4,Thursday,52,December
2024-12-27,27,12,2024,4,Friday,52,December
2024-12-28,28,12,2024,4,Saturday,52,December
2024-12-29,29,12,2024,4,Sunday,52,December
2024-12-30,30,12,2024,4,Monday,1,December
2024-12-31,31,12,2024,4,Tuesday,1,December
